Wall time,Step,Value
1705171531.0748148,0,3.054255485534668
1705171827.1888905,1,1.0405092239379883
1705172097.2545009,2,0.8277158737182617
1705172362.2355192,3,0.6391076445579529
1705172629.9213288,4,0.567786455154419
1705172894.4983482,5,0.4738437831401825
1705173159.4660478,6,0.43082761764526367
1705173423.6759079,7,0.40005314350128174
1705173685.3284147,8,0.36587339639663696
1705173949.7915804,9,0.37038058042526245
1705174211.2174652,10,0.34422263503074646
1705174474.3580806,11,0.31778034567832947
1705174736.425204,12,0.32359227538108826
1705174999.3977215,13,0.2982935905456543
1705175260.9271138,14,0.26845118403434753
1705175524.66804,15,0.2743155360221863
1705175786.83919,16,0.2608994245529175
1705176047.9665213,17,0.2580769658088684
1705176307.7466211,18,0.24275918304920197
1705176567.6774316,19,0.23361971974372864
1705176831.522274,20,0.23995432257652283
1705177096.2261546,21,0.21450836956501007
1705177362.3730247,22,0.21828140318393707
1705177625.8919668,23,0.1993497759103775
1705177887.7041612,24,0.19706842303276062
1705178151.025137,25,0.20257554948329926
1705178412.9524114,26,0.19616656005382538
1705178675.418589,27,0.18642853200435638
1705178937.1388307,28,0.1859617680311203
1705179200.6929677,29,0.17044492065906525
1705179460.5385835,30,0.16432906687259674
1705179722.2104802,31,0.17686188220977783
1705179984.4275262,32,0.16202229261398315
1705180243.2690327,33,0.1700315773487091
1705180505.4425,34,0.16230645775794983
1705180766.3671634,35,0.16578064858913422
1705181027.8535004,36,0.16062772274017334
1705181289.3159304,37,0.15264295041561127
1705181548.5087142,38,0.15107578039169312
1705181808.5944273,39,0.1441272795200348
1705182069.7507455,40,0.13866151869297028
1705182329.0807514,41,0.14496566355228424
1705182590.7020998,42,0.14306899905204773
1705182859.5831685,43,0.13157211244106293
1705183145.1763148,44,0.1305762231349945
1705183434.7320707,45,0.1359732300043106
1705183722.2700028,46,0.12999479472637177
1705184008.2361302,47,0.1329302191734314
1705184295.9627025,48,0.1264236867427826
1705184584.3130322,49,0.12842944264411926
1705184870.8706589,50,0.12137635052204132
1705185157.4388087,51,0.1208452358841896
1705185443.5570388,52,0.12391509115695953
1705185733.6005516,53,0.11576922982931137
1705186020.3664217,54,0.12191622704267502
1705186307.214581,55,0.1166180670261383
1705186595.0836525,56,0.11900053173303604
1705186883.211618,57,0.10998556762933731
1705187169.2151794,58,0.10932321101427078
1705187458.0487092,59,0.11625368893146515
1705187744.4415598,60,0.10558397322893143
1705188033.3809643,61,0.10395162552595139
1705188320.403702,62,0.10545610636472702
1705188605.8316848,63,0.10311179608106613
1705188892.4492183,64,0.1092606708407402
1705189179.4088953,65,0.10475903749465942
1705189465.518334,66,0.10213550925254822
1705189753.022169,67,0.09878101944923401
1705190041.2182066,68,0.10155991464853287
1705190326.1406014,69,0.10299687087535858
1705190613.575176,70,0.09904797375202179
1705190898.718012,71,0.09852564334869385
1705191184.1063342,72,0.09931081533432007
1705191469.2393749,73,0.09470932185649872
1705191753.9909074,74,0.09099359065294266
1705192039.2116778,75,0.09145232290029526
1705192326.1018693,76,0.0878324806690216
1705192611.6751964,77,0.0956742912530899
1705192897.108907,78,0.09567251801490784
1705193183.0882714,79,0.09413019567728043
1705193468.5643165,80,0.08849358558654785
1705193755.714006,81,0.0874059796333313
1705194041.3530655,82,0.08749429136514664
1705194327.3977177,83,0.08386742323637009
1705194614.8949387,84,0.08384384959936142
1705194901.9940836,85,0.08786040544509888
1705195187.7057598,86,0.08927958458662033
1705195475.4272494,87,0.08189914375543594
1705195761.460955,88,0.0876808762550354
1705196046.7868533,89,0.08891690522432327
1705196334.550879,90,0.08057823777198792
1705196619.503308,91,0.0882609635591507
1705196904.6487346,92,0.08515919744968414
1705197190.0749285,93,0.0812474712729454
1705197475.8302405,94,0.08155342191457748
1705197763.2201676,95,0.08186069875955582
1705198049.310002,96,0.07750121504068375
1705198337.6053524,97,0.07744694501161575
1705198623.8923273,98,0.07715340703725815
1705198910.6935322,99,0.0788639485836029
